"vacina_dataaplicacao","paciente_endereco_nmmunicipio","_col2"
"2021-02-04","NITEROI","1632"
"2021-10-04","FEIRA DE SANTANA","6"
"2021-04-26","SANTA LUZIA","730"
"2021-08-23","JUNDIAI","1341"
"2021-08-20","DIVINOPOLIS","1216"
"2021-07-13","FEIRA DE SANTANA","687"
"2021-06-29","RIBEIRAO PRETO","2751"
"2021-05-21","MARINGA","1548"
"2021-08-12","RIBEIRAO PRETO","5681"
"2021-05-29","JUNDIAI","2906"
"2021-04-21","RIBEIRAO PRETO","3468"
"2021-03-01","SANTA MARIA","619"
"2021-07-13","ACAILANDIA","160"
"2021-03-11","JUNDIAI","626"
"2021-09-11","MARINGA","1972"
"2021-04-18","MARINGA","38"
"2021-06-12","FEIRA DE SANTANA","83"
"2021-01-27","SANTA LUZIA","110"
"2021-01-25","MARINGA","95"
"2021-02-04","PETROLINA","51"
"2021-02-21","SANTA MARIA","10"
"2021-09-05","SANTA LUZIA","10"
"2021-06-13","JUNDIAI","12"
"2021-09-19","JUNDIAI","17"
"2021-07-23","NITEROI","6363"
"2021-04-08","NITEROI","6863"
"2021-03-06","RIBEIRAO PRETO","2670"
"2021-05-11","DIVINOPOLIS","709"
"2021-07-06","SANTA MARIA","5190"
"2021-01-29","RIBEIRAO PRETO","1092"
"2021-04-03","JUNDIAI","1280"
"2021-03-25","PETROLINA","606"
"2021-02-22","RIBEIRAO PRETO","467"
"2021-07-17","DIVINOPOLIS","638"
"2021-04-21","PETROLINA","123"
"2021-05-04","SANTA MARIA","964"
"2021-02-27","SANTA MARIA","147"
"2021-08-14","PETROLINA","851"
"2021-05-15","RIBEIRAO PRETO","230"
"2021-02-20","FEIRA DE SANTANA","14"
"2021-09-30","FEIRA DE SANTANA","7"
"2021-02-17","NITEROI","1207"
"2021-10-06","NITEROI","4189"
"2021-07-31","NITEROI","1277"
"2021-08-26","RIBEIRAO PRETO","594"
"2021-07-16","ACAILANDIA","1339"
"2021-08-04","SANTA MARIA","842"
"2021-04-08","DIVINOPOLIS","913"
"2021-01-21","SANTA LUZIA","398"
"2021-07-18","PETROLINA","676"
"2021-06-23","SANTA LUZIA","664"
"2021-01-21","PETROLINA","897"
"2021-04-20","JUNDIAI","896"
"2021-07-29","PETROLINA","938"
"2021-02-22","SANTA MARIA","826"
"2021-06-21","SANTA MARIA","425"
"2021-09-28","SANTA MARIA","1135"
"2021-09-01","ACAILANDIA","738"
"2021-01-19","FEIRA DE SANTANA","249"
"2021-09-27","DIVINOPOLIS","7"
"2021-02-08","JUNDIAI","356"
"2021-08-17","FEIRA DE SANTANA","341"
